content,score
Mantap,5
Semoga makin sukses,5
Verifikasi ga jls 😖😖😖,1
APLIKASI K000...NNT....00LLLLL.... MAU LOG IN AJA SUSAH AMAT VERIFIKASI NYA,1
"Ini LinkedIn nya bagaimana sih belum apa-apa sudah log out, terus verivikasi terus, udah verifikasi gagal sudah upload yang diminta juga gak bisa.... Kok makin aneh",1
Suka,5
Aplikasi yang luar biasa,5
As R,5
Try4 4 0rior 4to,3
Apk gajelas... Huhhhhhh langsung delete aja.. gaberguna😅😅😅 masa regristrasi aja gagal Mulu.. jawabanya akun anda sudah ada yg pakai... Aneh🤪,1
apsih ini nongoll mulu iklan nya mending yg iklanin enak di pandang minimal rambutnya di benerin keramas biar ga lepek bikin sakit mata aja tiap detik nongol bikin sakit mata ck,1
Terlalu banyak iklan 👎,1
Bagus,5
Apk gajelas malah tebah2 an gblok,1
Najis vrfiksi ny sush lollll,1
Dibutuhkan untuk akuntan universal.,5
Lihat ulasan nya aja udh sanksi cuy,1
kocak,1
Bermanfaat,5
Asmara,5
Apk aswu,1
Iklan ngganggu. Gaada tombol exit.,1
Bgus,5
Konten iklan menganggu,1
ok mksh infony,5
Sangat bermanraat,5
Banyak aplikasi cari pekerjaan,5
😃😃😃😃😃😃😃,4
Ok,5
Sangat membantu,5
Good app.,5
Pengalaman tawangmangu,5
Good ideas...!!!!!,5
Mantap,5
Bekerja keras &konsisten,5
Bagus sekali,5
Bàiķ👍🙏,5
"Tolong dibenarkan apk nya, verifikasi sudah benar masih tetap salah",1
sangat bermanfaat,5
Kerja kerja & kerja,5
"Aplikasi ga jeelassss,.makin lama makin ngebug,.masa mau login suruh verifikasi bagian keamanan,.sudah jelass gambar pilihanya benar,..tetep salah tidak bisa masuk",1
"Kalo tidak bisa dibuka itu bagaimana ya min, mohon pencerahanya, dari kemaren nggak bisa dibuka aplikasinya padahal sinyal lancar🙏",5
Sebel verifikasi domba menghadap ke atas yang kelima nya gagal trus sekali nya beres gagal,2
Mles,1
Saya suka walaupun tdk setiap saat saya bisa beriteraksi tapi aplikasi ini banyak.menambah wawasan dan pengetahuan,5
Ok,5
satisfy,5
Thn 1990-1992..Site Koordinator QS. PT.Dumez International.. Proyek Pembuatan Terowongan PLTA Singkarak.West Sumatera. Thn .1993 - 1995.Site Manager PT.Hutama karya Jakarta. Proyek Pembangunan jalan Tol Jakarta outer Ring Road..Sec - South Thn 1996 - 1998..Site Manager Join operation PT.HK- Aji satria- Baraga Proyek Pembangunan Jalan Tol .Jakarta - Serpong( BSD) Thn 1999 - 2001...No project..Krismon. Thn 2002.- 2004 ..Site Manager.PT HK Pembangunanan Jalan Tol Cikampek - Sadang. Thn 2005 - 2007,5
𝕋𝕖𝕣𝕝𝕒𝕝𝕦 𝕞𝕒𝕜𝕤𝕒 𝕦𝕟𝕥𝕦𝕜 𝕕 donlod,1
Menggangu,1
banner nya gmn sih kok jd bulet,1
"Membantu menambah relasi dalam pekerjaan, mendapatkan informasi informasi lowongan pekerjaan, Membantu saya untuk lebih baik lagi",5
Nice app,5
Iklan lu ganggu,1
Ikan terus,1
Membantu,5
Mohonmaaf aku telah melupajan tgl 17 sebagai hari raya idul adha mohon ampun ya Allah terima kasih semoga aku tidak melupakan lagi mungkin aku sudah diingatkan semoga aku bisa ingat terus akan kesalahan ini mohon ampun yaa ALLAH MOHON AMPUN ASTAQFIRULLAH HAL ADZIIM MOHON AMPUN YA ALLAH AAMIN YAA ROBBIL ALAMIN 3X,5
sangat membantu,5
"CONTOH² APLIKASI RUSAK!JANGN DI INSTAL YH TEMAN², DIA HANYA MENCARI UNTUNG DARI KALIAN.",1
Tetiba kok ada tagihan padahal sdh sy hapus krn penasaran saya instal lg,1
Saya lagi kesepian,5
Bagus,5
Ok,5
Aplikasi mau daftar buat login nya aja susah banget lah males,1
aplikasi memuakkan,1
LU IKLAN SEKALI LAGI AWAS 🤬,1
"Terlalu kebahasa inggris an, terlalu mematok umur, tidak memperhatikan pengalaman otodidak",1
Saya pernah klik Berlangganan Premium dengan Harga 0 rupiah (gratis). tetapi kenapa pas ada saldo DANA di akun saya terpotong otomatis. tolong pihak Linkedin yg bekerja sama dengan Google kembalikan Saldo DANA saya 654.900,1
Sangat membantu untuk mendapati informasi pekerjaan Kasi bintang 3 dulu,3
Assalamualaikum terima kasih atas kunjungan untuk loker,5
Iklannya maksa,1
Good.,5
Saya suka banget karena informasi nya terbaru,5
Ok,5
.t,4
masuk saja harus ke email parah,1
Sering error,1
mantap 👍🏻,5
"Verifikasi login dipersulit, padahal sudah memilih gambar yang benar tapi di ulang ulang terus",1
Aplikasi tidak berguna,1
Belum ada pengalaman yang bapak maksud semacam apa itu,2
UU k,3
sangat senang dan berbahagialah,3
Lebih tertolong,5
Bagus,5
Mantap keren abis,5
Seru,5
Terlalu banyak iklan,5
Saya mau tutup akun susah banget disitu nyuruh masukan sandi udah mau dimasukin tapi malah disuruh main tebak2an. Tolong bantuannya,1
Ok buanget,1
Asdff,3
Ribet,1
Lah ini gimana dah padahal udh buat akun malah gak bisa masuk,1
"Sangat bagus apk ini,",5
Iklan gak bermutu,1
Indonesia,5
Apl ini sangat bagus...,5
Sangat berguna bagi pencari kerja tetapi sdh mulai dikotori dg berita-berita politik,5
Sangat membantu,5
Dtreioooooooooo kkkkkjkkokok,5
iklan susah di close,1
"Aplikasi apa ini,diajukan pendeletan akun masih muncul trs",1
Ok,5
BAGAIMANA CARA MENGHILANGKAN IKLAN APLIKASI INI? SETIAP KALI BUKA APLIKASI SELALU MUNCUL IKLANNYA PADAHAL TIDAK DI INSTAL 🗿,1
Oke,5
Ok,5
Cepat dapat informasi,5
Ok,4
Bagus,5
Apk gak guna,1
"Selama ini ditempatq,sinyal rdk bagus,perbuatannya Tower..tks.",1
Mencari Kerja? Oh ya saya masih 16 Tahun bukan 18 tahun,1
Baru daftar bolak balik isi captcha mulu. Gajelas ini aplikasi. Bikin emosi aja. Belum aja cari kerja udah capek duluan bolak balik ngisi captcha. Benerin lah ini bug nya.,1
"HADUH MENGHABISKAN WAKTU 3 JAM CUMA BUAT VERIFIKASI GAMBAR GAJELAS, JAWABAN UDAH BENER SEMUA MALAH SALAH, GABISA GANTI PASSWORD PULA",1
Mau masuk susah padahal uda upload data diri. Jadi ga bisa ubah profil. Bolak balik minta verifikasi si gambar banteng dan domba. Menyebalkan! 😡😡,1
Oke,5
Kalau dapat ada panggilan saya kasih 4 dulu,4
SAYA SETUJU DENGAN POSTINGAN INI,5
Asik juga buat usaha,2
Ini beneran nga sih.......jgn jgn ngabisin kouta doang nih aplikasi,5
Wahh disini adalah tempat pencari kerja saya setelah aplikasi sebelah Aplikasi ini cukup bagus untuk freelance kayak kita,5
babi,1
Mengganggu...kebanyakan iklan,1
Ok,5
Notioikasinya terlalu sering numpuk di email menjadi penuh,1
Gelap,1
Sangat membantu,5
Iklan di youtube,1
Wah sy gak bs nonton lanjut langsung,5
Aku tak bisa ikuti di Indonesia ini berhubung umur dah tua he kata orang India he.tapi bagi yg muda Insyaallah sangat bagus mau bergabung soal bisnis pasti Good,5
Vi Ijo,5
Alhamdulillah 🙏,5
jmiki,4
Sangat baik,5
Pengalamannya...kurang berhasil dulu...semoga kali ini berhasil....,3
Ga tau,1
kont,1
Ok,5
RIBETTTT !!!,1
Mantap 👍👍🙏,5
Eh taunya dia,1
Iklann,1
bagus sekali sila di coba9,5
Good👱,5
iklan dimana mana,1
Baru mencoba.. cari kerja tapi blm ada masukan dr teman Linkedln Semoga ada info lowongan pekerjaan secepatnya,5
Avatar pazu,5
Mantap brow,5
Bintang 1,1
mau update profile error mulu asuuu,1
butut,5
Matikan ikelan,5
Good,5
Ok sajslah,4
Good,5
MUHAMMAD PONDA PRABUADJI SUKSES MELUNCURKAN 1001 PLANET EARTH,5
Sangat bagus dan membantu Saya kasih bintang 5,5
sangat sempurna sekali,5
Ok mantabbbbb,5
Trimakasi,5
Coba,5
Abdhamid asyupil jangan pisah,5
iklan kamu di apk lain ganggu bgt. LAGIAN APLIKASI JELEK MASIH AJA ADA YG INSTAL. ISINYA CUMA ORANG2 SOMBONG PAMER KERJaan doang,1
Great,5
"Mengapa iklan terus bermuculan bos, saya tidak suka, jadi mengganggu aktivitas saya",1
Sangat membatu,5
iklan ganggu,1
Ok,1
"p , ,, I I",1
"Menambah wawasan dunia kerja, dan menambah relasi",5
ok,5
APASIII MUNCUL GAJELASS IKLAN MULUUU$@##!#!$+=!,1
OK.,5
Oke,5
"Kontl mau login ae muter mulu ,gk bisa login ngetddd ,mau ngwrjain tugas anjlah",1
Ok,5
Iklqn musu sat,1
Aplikasi bisnis yang genius Always make our geniusly busines profitables insurables feel goods our eyes Minds Foreverly,5
Ok,5
Menarik,5
Beatiful good,5
Sangat menggangu saya,1
Good,5
"Tampilan terlalu rumit,kurang tertata dengan baik",3
Iklan lu ganggu,1
gak jelas,1
Kok ga bisa di donwload sih,1
Ok,5
Sulit mendapatkan pekerjaan sekali ada panggilan penipuan semua..memang jaman sekarang nyari kerja harus pakai orang dalam... Ijazah S1 lawan ijazah SMA yang menang yang ijazah SMA dikarenakan yang ijazah SMA ada orang dalamnya sedangkan yang ijazah S1 di abaikan bahkan lamaran atau CV nya langsung dibuang ke tong sampah benar' benar aneh jaman sekarang,1
Baik,5
Iklannya mengganggu aja,1
👍👍👍👍,5
Terima kasih sudah membantu,5
Wildan baik,5
Terlalu berat kagak ada loker,1
Very good,5
I like,5
My.,2
Keren,5
"Payah, mau rubah sandi salah mulu",1
Ok,5
Oke,4
Bagus,5
Gak bisa buka terlalu banyak iklan. Capek dech....,1
Bersyukur karena akan ada banyak kesempatan mendapatkan pengalaman baru,5
Aplikasi Babi,2
Good,5
Saya senang mau di aplikasi ini bagus dan sangat menghibur,5
Amin 🙏Semoga GG tetap melayani publik secara ikhlas d bermutu.,3
"Sangat bagus ,dan membatu",4
Susah login via google,1
Baru,1
Sulit verifikasi,1
Bagus,5
Ok,5
"Mau log in Gx bisa , di persulit gagal terus mau log in padahal sudah ngikutin arahan nya tapi tetep gagal , Lanjut pake FB GX bisa , lanjut pake nomor hp GX bisa, lanjut pake google pun GX bisa ...di suruh masukin kode tapi saya GX Nerima kode SMS atau apapun itu .... Gimna mau log in klo gitu",1
"Sulit banget loginnya min , kayak Facebook saja mudah loginnya sdh aman, pakai verifikasi manusia pula dan gambar yang seharusnya menghadap keatas sudah bnr malah salah",1
Mantaf,5
Mantap siippp,5
Buruk.... Selalu arahin klik kambing arah ke atas selalu salah,2
Tolol verifikasi Mulu Ampe habis baterai,2
Mayanlah banyak loker....cuma sayangnya susah apply direct aja,5
kok ngak bisa juga dibuka kalkulatornya,5
"Coba akses lagi akun, sudah ada fitur verifikasi KTP. Tapi di coba selalu gagal. Tetap akun dak bisa di akses",1
Ok,5
apk kocakk,1
Terima kasih...semoga lancar,5
Ok,5
Gak guna,1
Ganti aja deh Network di kan sama al-Ula Jelek ih kaya Kids Indonesia,3
"Lamannya lambat postingan baru malah gk keliatan, postingan lama stay di awal, jadi harus scroll bawah baru bisa liat postingan baru, itupun acak",3
Iklannya nyepam!!!!!!!!!!!,1
Kenapa saya tidak bisa login dan Kenapa akun saya di batasi? Ini Sungguh aneh sedang saya tidak pernah merasa melakukan kesalahan ataupun melanggar aturan yang sudah di tetapkan di LinkedIn. Saya menggunakan LinkedIn hanya sebatas mencari pekerjaan dan tidak lebih dari itu. Mohon penjelasannya dari pihak LinkedIn,1
"susah masuk, verifikasi bikin pusing",1
Bagus sih tapi kenapa sekarang mau login aja susah ya sekarang🥹,5
Ok,5
"Tolonglah ini kenapa baru buat akun akses akun sudah dibatasi, ditambah sudah verifikasi pake ktp tetap saja belum bisa, padahal saya ga ngapa ngapain akun itu juga baru",2
"MAU RESET PASSWORD AJA SUSAH, MALAH DI BOLAK BALIK TERUS DI BAGIAN VERIFIKASI KODE EMAIL",1
Ok,5
Good job,2
Sangat mudah di gunakan,5
Aplikasi ini aneh kok aku udh 7hari gak login kok tiba-tiba akun saya louot terus saya masukin lagi eh malah suruh bikin akun lagi adeh enakkan bikin konten di Ig gak louot dan Gapang lagi Mana lagi verifikasi nya ribet banget udh kaya PLN mobil 😡,1
Bintang satu karena gak bisa tambah email dan gagal waktu klik lamar mudah.,1
Alam❤❤,1
Apk tau kucing mo login aja susah amat bedul,1
Mantap aplikasinya,5
"Apkikasi tidak jelas motong2 saldo sembarangan, jangan pernah download ini apk",1
Bagus,5
Apl gak guna buat saya,1
Baik,5
Uok,5
pengalamakami prediter bisnis proferti bangunan projek arjit sooh lettviker tapi gel ti puul in door ti kretipitas di desa .,5
"Kebanyakan iklan,mau balik ke awal susah. Tdk epektif",1
Belom ke hiring,4
Sangat puas,5
Mantap 👍👍,5
Good for the carrer path,5
Good,4
Jelek banyak iklan,1
nj iiuj,4
Giod,5
"Aplikasinya kurang,banyak bug,banyak spam,dan juga tidak menarik dan efektif",1
"Dua dulu,klw misalkn sesuai baru bintang 5 skligus",2
Menyusahkan,1
Masih belajar gak ngerti,5
"Parah banget, baru daftar dan besoknya tidak bisa akses karena ""akses akun dibatasi"", udah verifikasi dgn foto ktp dan isi segala macem data tapi tetap aja gak bisa di akses. Nyesel si daftar linkedIn, mana data pribadi udah disini semua. Apa jangan"" sengaja kali ya ""akses akun dibatasi"" supaya data pribadi bisa dicuri.. Buat yang mau daftar, please pikir 2 kali, masih banyak aplikasi atau website pencari kerja yang gak ribet kaya LinkedIn.",1
Mau lihat dulu fungsi aplikasinya,3
sangat bagus,2
joking,2
Linkedln Ranting Aplikasi,5
Bagaimana saya menghapus akun saya yang tidak bisa login?,1
Sangat berarti,5
Sangat bagus,5
Aplikasi kocak login aja payah nebak gambar udah bener malah disalahin,1
Iklannya mengandung LGBT,1
PertanianSedang aka pengalaman nya,5
aplikasi wajib buat org2 yg punya usaha/ jualan tuh ya gopay merchant,5
oke,5
utii gabepo,5
Tuk rasakan hasil permainan,4
Mau login susah woi itu gambar badak lo benerin,1
"Ribet, iklan nya dimana mana",1
Benci saya iklanya masuk terus....dalam 10 menit,1
The Sulu Kaurow Direktori Map Data Peta View Mario Samuel Sulu Van Der Hall Finance Indonesia Merdeka online streaming,5
Nyoba ya,5
Ok,5
Kentu,1
Tidak suka,5
Ok,5
Top,5
In,5
Aktifkan,5
Baik sekali,3
Mantap,5
Yaa lumayan mantap,5
Ok,5
Sangat Bagus dan Bermanfaat,5
Ok,5
Mantep Ok,5
Baik,5
Bagus,5
"klo iklan kasih besar sedikit napa tanda silangnya, susah dipencet tau",1
Suka sekali,1
Ajg lah verivikasi susah amat lu niat ngk sih buat apk,1
Sudah cukup bagus dan sangat membantu saya dalam memperoleh informasi sesuai dgn kebutuhan dan keahlian kami,5
Mantaaappp,5
"Akun saya tiba2 disuruh login ulang dan itu ribet banget, tolong deh jgn dipersulit.",1
Omg..it was great,5
Good,4
Tahik EMG. Verifikasinya gak jelas,1
Baik,5
"Sangat menyenangkan, puas editannya",5
apk stresss mau login aja di suruh captcha trss,1
Kalo di apk lain iklan apk ini susah bg di skip mwemweg bgt,1
Entah kenapa koneksi saya tidak bertambah padah sudah diterima oleh orang lain. Koneksi tetap stuck gak bertambah tolong diberbaiki ya,1
"ayolah, ga ngapain2 tb2 precaution. app ga jelas.",1
"Masuk nya susah, verifikasi terus. Udah berhasil balik lagi verifikasi.. 4 jam cuman verifikasi",1
Good,5
Bagus,4
Baik,5
Good,5
Oke,5
DiKON.TOL iklan mulu ganggu Sanjingg,1
Wonderful,3
Platform untuk cari pekerjaan dan menambah skill serta relasi.,5
Bagus sih mudah cuma saking byk alpkasi yg di gunakan ribuan jadi TDK meningkat nya yg jelas bagus donwan dan instan lah,5
Saya sangat suka aplikasi linkkedin.....,5
"Udah capek capek buat akun, baru berapa hari pake ke log out sendiri, trus gabisa login kocak bgt",1
Baik,5
Jempool,5
Good,5
"Saya sudah lansia saya tidak bisa kerja lagi, saya suka main gim, semua gim yang katanya dapat uang tapi bohong semua, banyak iklan maksa lagi, dapat hadiah uang berlimpah, di klaim saat ditarik, ujung""nya bayar sekian dana tidak cukup, emangnya aku instal gem gak pake kuota apa, aku yang ninton iklan pemilik gem yang dapat duit, aku yang bangkrut. Instal gem hapus lag, biar gak menuhi penyimpanan HP KU.",5
Henny dan temannya yang tidak bisa di sini dan di kantong dan Mahesa Jenar yang tidak dapat di download di sini adalah salah satu dari mereka yang tidak bisa di download disini di kantong dan mendengar suara pintu yang telah ditetapkan oleh menteri di download disini dengan catatan bahwa di download disini di sini untuk membatalkan konsumen yang tidak dapat melihat dengan mata kepala di sini adalah salah seorang dari kalian yang telah ditetapkan,5
Bagus,4
DANA SAYA TIBA TIBA HILAN,1
Mau hapus akun aja ribet banget. Mengulang dialog yg sama sampe 10 kali. 😒,1
Bagus untuk cari kerja,5
TUHAN YANG MAHA,3
Nyepam mulu,1
"CAPTCHA NYA ASU EMANG. NGASIH KEAMANAN YANG BECUS DIKIT NAPA. NYURUH NYARI GAMBAR TERTENTU, GAMBARNYA DOBEL, APA APAAN!!!",1
"Tidak ada panduan, lalu untuk filter tempat yg diinginkan blm mencapai seluruh bagian terpencil.",1
Oke,5
Jo The z 😂,1
login susah banget gilaa!!,1
Iklan menggangu,1
ribeett,1
Sangat bagus,5
Menyediakan informasi secara rinci,5
Still try,4
"Apk busuk dan di browser juga busuk masa harus menunggu lama dan tidak masuk"". Malah notip mari melakukan pemeriksaan keamanan cepat berjam"" menunggu begtu terus bagusan hapus aja apk nya di browser juga di hapus aja",1
"aku di suruh bikin akun LinkedIn tapi di paksa harus punya KTP baru bisa login. tapi aku masih SMK, masa nunggu 2 tahun lagi biar bisa buat akun. please LinkedIn buat biar gak ada verifikasi id kalo umurnya belum 17+",2
Mudah dalam mendapatkan informasi kerja.,5
stuck in login security check,1
Okh,5
Top banget,5
Tidak suka,1
👍,5
"Tiba-tiba akun ke Logout sendiri, terus selalu gagal login katanya sandi salah, akun dibatasi, blablabla shibal",1
Pengalaman operator.trailer/lowboy,5
Isn't bad,5
Saya mau kluar dari apk ini dengan cara menghapus akun saya tapi tidak bisa berkali' saya mencoba mohon diperbaiki lagi karena saya mau kluar dari apk ini🙏,2
Agar saya coba akun demo tapi cuma ada nomor hape ini molai dari nol posting tetap,1
"gabisa login, captcha gaje",1
Berterimakasih sangat membantu,5
Good application,5
Ok,5
Hidup adalah perjuangan,5
"Fiturnya sulit di pahami. Udah ngatur lokasi jambi, tapi tetep aja yang muncul loker dari kota lain.",1
Tak kasih bintang 4,4
nice,5
Saya kerja opsih,5
Bagus,3
Gak ada gunanya,1
"Tidal bisa login karena terus minta verifikasi, sudah di beri foto id card masih tida bisa di akses hingga berulang kali",1
"SUSAH UNTUK MASUK NYA, RIBET",1
Good,5
Good job😀😊👍,5
This lesson is very good.thank you,5
Mantap,5
Optimalkam,5
Terlalu banyak iklan,1
Semoga Amanah,5
yahoo ptezaśáåå⁴⅘⁴é4,4
Bagus,5
Good7 LinkDln,5
Apk susah masuk ga hebat,1
semoga nanti pas uda kerja linkedln nya bisa kayak orang² yang inspiratif,5
Ok,5
baru mau coba semoga betah,3
"sangat membantu, sayang nya iklan sangat menggangu",5
Muncul terus parah,1
This is suck,1
"sebelumnya udah pernah buat account dan sudah mensetup semuanya, beberapa minggu ga dibuka tiba"" akun saya hilang",1
Ok,5
Top,5
good,5
ya saya suka aplikasi ini,5
Sangat membantuu,3
Ok,5
Good one aplikasi,5
Seneng bague,5
Verifikasi susah minta ampun auto unistal sampah,1
terkendala login,1
Bagus,5
indonesia maju,5
The Best,5
Tdk seportip,1
Baru mencoba,4
Okey...,4
"Linked yatim Dayat Dayat ku lapor senko kw, senko pemilik artis bokep tau ga aku lapor masuk penjara kw aku nih kariawan nya sih senko pemeran utaman film porno",1
Oke,5
Good,1
Verifikasi doang ribet amat bikin emosi,1
Jos,5
good,5
Pijlp0 Po,5
"Apa apaan ini,ga ada pernah install apk nya tapi diminta bayar langganan? Maksud nya gimana ini? Ini mau meras apa gimana? tolong lah",1
Maless,1
Programnya bagus,5
Sangat baik. Sangat membantu untuk memperluas jaringan pekerjaan,5
Iklanmu gateli cokkkkkk,1
Ok,5
Ok banget,5
Tolol,1
Ok,5
Kenapa gak bisa buka LinkedIn padahal malam bisa..,2
ACl Gamestop,5
Di coba dulu,3
Iklan terlalu lama,1
Good,5
Sangat membantu,5
Aplikasi gak guna masak nunggu acc dulu. Edah,5
Jual alat pertanian,4
bad,1
Good,5
Good aplikasi,5
Ini apl muncul trs di game yg gw mainin. Dan susah bnget di skip walopun ad tanda X nya,1
"Saya sudah bikin akun sampai 2x dan tiba² setelah saya buat akun yg pertama, akun saya tiba² logout dengan sendirinya, dan ketika saya coba untuk login kembali terdapat masalah karena akun dibatasi padahal saya tidak melakukan kesalahan apapun, akhirnya saya mencoba untuk mengikuti langkah² untuk verifikasi akun saya agar bisa kembali, tetapi hasilnya nihil tetap tidak bisa, tolong untuk devoloper/admin berikan saya alasanya dan cepat perbaiki ini sangat merugikan, saya kasih bintang 1 dulu",1
Welder operator snd muster tuh to delevery asean going,5
Oke menjadi lebih baik,5
Aplikasi ngga jelas,1
asww,1
Bagus cuman jaringan ny kurang bagus,3
Good,5
Program apa an ini ??,1
Mantap,5
Keren😗,5
Apk bermasalah Mulu klo mau apply,3
Sangat mantap bosku👍🙏,5
Niceeeee,4
Pusing,5
"absolutely useless, keep getting banned very often for no reason",1
Ok,5
Secure,5
Terima kasih sudah mengirimkan informasi lowongan pekerjaan. Sangat membantu untuk Saya bisa bagikan untuk keluarga sbelum dapat pekerjaan,5
Mantab sekali. Gampang digunakan kan sangat nyaman dengan fitur - fitur yang mudah difahami. Pilihan bahasa Indonesia juga sangat menarik,5
Aplikasi kurang memuaskan dalam mencari kerjaan,1
Very good application,5
Berjalan dengan baik pak bossku. Apakah ini berarti kita is a great company and we will continue 😊. Yes !!,5
Sangat membantu memperkenalkan diri dan bisnis di LinkedIn,5
Ok,4
"Knp suka log out sendiri ya,,,,udah login susah banget buat konfirmasi. tolong dong itu akun saya udah dua gak bisa di masukin lagi",1
Verifikasi id/sim lama banget asli. Udah dikirim prosesnya LELET BANGET!,1
"Gk jelas banget, gk ada badai gk hujan tiba2 disuruh login ulang, verivikasi keamanan, mana ulang2 mulu dah selesai kemabali lagi verifikasi, mana gambar nya gk jelas Aplikasi gede kok kayak gini",1
"Aplikasi sampahhhhh, akun tiba"" hilang. Tolollll",1
Sangat membantu,5
"Memperluas relasi, membuka pintu rezeki, mempermudah hubungan antara pelamar dan pencari pekerja.",5
"Ay`A,ah, aku",5
Di tahun 2024 sy menjabat sbg Direktur utama di PT Nabilla Bhara Abadi,5
Mantap bisa membantu membangun personal branding di ranah internasional,5
saya sangat terbanntu dgn adanya aplikasi ini,5
mau log in terlalu sulit verifikasi,1
Membantu,2
Bina rumah rumah dan plumbing servis,5
Kecewa udah 2 kali buat akun 2 kali jg harus verifikasi dan slalu gagal padahal sandi yg d isi udah benar tpi masih aja d bilang salah mana harus ambil foto muka dan foto KTP,1
Good,5
Ini kenapa saya mau ganti email suka error.,1
Bagus,5
Excellent,5
"Akun saya tiba-tiba gak bisa dibuka malah disuruh untuk verifikasi dengan persona, kenapa akun saya malah dibatasi dan saya merasa tidak melakukan apa"" di akun itu, mohon untuk diperbaiki lagi 🤧🙏",1
"Verifikasi dengan pesona Selalu keluar sendiri tiba tiba, mohon untuk diperbaiki",1
ok,5
"Security yg memilih hewan menghadap ke atas terlalu rumit, mempersulit dalam proses login/buat akun",1
"Gabisa login kocak, verif sana sini gagal terus halaman tidak ditemukan",1
Jos,5
Like,3
Mantap,5
Ok,5
Mantap,5
"Akun dibatasi, alasan kebijakan. Yang lain posting ok ok aja sy lihat. Ga pake LinkedIn jg no problem",1
Mantab n sukses slalu,5
Sangat jelek,1
"Meskipun saya masih bingung sedikit, tapi saya akan belajar, karna linkdIn sangat membantu",5
Konten tidak baik,1
Very good,5
Salam ya Salam sehat selalu amin buat semua nya yang di perusahaan henpon Indonesia maupun perusahaan internasional henpon apapun bentuk nya nama nya.,5
Bagus apk nya sangat membantu,5
Be Best,5
"Memang aplikasi tolol, masuk ke akun sendiri aja susahnya minta ampun. Segala verifikasi, dibatasi, entahlah.",1
puyeng pake ni apk,1
Aplikasi apa ini. mau login Nungguin code berjam-jam enggk ada juga.,1
..b 9. /,5
Oke,5
Masi mencoba apakah bener di app ini membantu yg kesulitan mencari pekerjaan?,5
Baik,5
Mantap bisa bekerja Di perusahaan besar di Singapura,5
Tes human nya g jelas banget sumpah.,1
Opsional,5
Akses terbaik,5
bagus.,5
Ok,5
Baik ⭐⭐⭐⭐⭐,5
Oke,5
Masa login aja gak bisa kek mana ini secara lagi butuh secepatnya,1
Okk,4
Tidak bisa login,1
Good,1
Ok,5
Good app🫶,5
Mening,5
Halo ini kenapa saya tidak bisa masuk kembali ke akun saya? Sdh berkali kali verivikasi tapi tetap tidak bisa masuk,1
Ok,5
Apk paling gaje,1
"Min tolong dong, akun saya infonya melanggar, saya mau login harus cek ini cek itu dan gagal terus, ini kenapa dengan akun saya? Tolong bantuannya min",1
", . Lp",2
Nice.,5
Sangat membantu,5
Informasi Aktual lowongan kerja pendidikan di Linkedln,5
Sangat membantu dan memudahkan dalam perjalanan,5
SosMed utk para Profesional..,5
Aplikasi yang sangat membantu mencari info lowongan pekerjaan,5
Isi mendapat info pekerjaan,5
Ok,5
"Ga guna, guwa nyari kerja mending ke orang dalem dah",1
Lumayan baik aplikasinya dan fitur2 yg ditampilkan menawan,3
Pejus kuntul,1
𝙍𝙞𝙗𝙚𝙩 𝙗𝙣𝙜𝙩𝙩𝙩 𝙢𝙖𝙪 𝙙𝙖𝙛𝙩𝙖𝙧 𝙖𝙟𝙖.,1
"App setres pw udh benar email udh benar ttep aj sruh verifikasi gj bngst mempersulit kerja orang aj ,smpe hrus msukin id pasport dkk ,app g ad bintang y gni tolong d benerin biar mempersulit penggunaan",1
Baik,5
Apk gak jelas udah jelas-jelas saya nyari kerjaan baru malah harus ceri ini lah itu lah sama perusahaan lama udah jelas gak kerja lagi di sana kalo masih kerja gak akan cari kerjaan,1
Recommended untuk profesional worker,5
Ok,5
Tolong hp saya secara teknis mumpuni tp kenapa setiap log in gak bsa tiba2 log out sendiri,1
Is the best,3
"aplikasi ga gunaa, mau login aja di persulitt pake teka teki ga jelasss, aplikasi ini bukan nya ngebantu malah nambah beban oranggg",1
We felt better event no respected to giveme out come reel bisnis progress,5
Aman,5
LinkedIn Aplikasi Terbaik 💯,5
Ok aja semoga trending,4
Top..,5
Ok,5
Good App,5
Baik,5
Diupdate malah gak bisa lamar,1
Mode kreator hilang sangat mengecewakan,1
Aplikasi yang paling menyulitkan pengguna. Untuk mengedit bio saja susah menemukan menunya.,1
Jooos,5
Ok,3
Ok,5
Keren,5
Ok,4
"Aplikasi bagus dan mudah, terimakasih",5
Good application,5
Sugoi,5
Bug Mulu . Ga jelasss,3
"Saya sudah lebih dari 14 tahun pengguna LinkedIn, sayang dalam 1 bulan terakhir akun saya hilang dan mengalami kesulitan untuk pemulihan padahal sudah lakukan verivikasi persona dg id nasional/KTP.",5
(opsional),1
Mantap 👍,5
Good,5
bagus,5
Improve be better,3
"Aplikaso yng sangat berguna, dari sini ketemu temen baru dan pekerjaan baru",5
Bagus,5
Sangat membantu,5
"Enak nich aplikasi ,sangat membantu",5
"Tolong saya tidak bisa login ke akun linkedin karena perlu verifikasi persona. Namun setalah upload ktp proses verifikasi gagal. Sudah membuat 2 akun namun dua duanya terkena pembatasan akun juga. Mohon bantuannya. Sebelum nya akun saya terkena hack orang hongkong, padahal sebelumnya tidak ada masalah sama sekali. Setelah hapus akun & membuat akun baru masalah pembatasan akun terjadi. Mohon segera di perbaiki",1
